Product Code,Description,GTIN,WMS Item Group,Item Category Code,Country Of Origin,User ID,
GGI027,GIVENCHY IRRESISTIBLE EDP 75ML + EDP 12.5ML + BL 100ML ,3274872481008,GIVENCHY,GIFT SETS,FR,SEND BY NAV
GGI028,GIVENCHY GENTLEMAN RESERVE PRIVEE SET EDP 100ML + EDP 12.5ML + SG 75ML ,3274872481091,GIVENCHY,GIFT SETS,FR,SEND BY NAV
GCY001,CACHAREL ELLA ELLA EDP 100ML + EDP 5ML + BL 50ML ,3614274400175,CACHAREL,GIFT SETS,FR,SEND BY NAV
GKE016,KENZO FLOWER EDP 100ML + EDP 10ML + BL 75ML ,3274872497740,KENZO,GIFT SETS,FR,SEND BY NAV
GCH186,CH BAD BOY COBALT EDP 100ML + EDP 10ML ,8411061139608,CAROLINA HERRERA,GIFT SETS,ES,SEND BY NAV
MBV109,BVLGARI LE GEMME M FALKAR EDP 8ML MINI ,783320417948,BVLGARI,MINIATURES,FR,SEND BY NAV
MBV110,BVLGARI LE GEMME M TYGAR EDP 8ML MINI ,783320418044,BVLGARI,MINIATURES,FR,SEND BY NAV
MBV111,BVLGARI LE GEMME FALKAR EDP 8ML MINI ,783320422706,BVLGARI,MINIATURES,FR,SEND BY NAV
MBV112,BVLGARI LE GEMME TYGAR EDP 8ML MINI ,783320422713,BVLGARI,MINIATURES,FR,SEND BY NAV
MBV113,BVLGARI MAN RAIN ESSENCE EDP 15ML MINI ,783320419454,BVLGARI,MINIATURES,FR,SEND BY NAV
MBV114,BVLGARI MAN RAIN ESSENCE EDP 5ML MINI ,783320419508,BVLGARI,MINIATURES,FR,SEND BY NAV
GCH187,CAROLINA HERRERA VERY GOOD GIRL ELIXIR EDP 80ML + BL 100ML ,8411061110171,CAROLINA HERRERA,GIFT SETS,FR,SEND BY NAV
GCH188,CH GOOD GIRL BLUSH EDP 80M + BL 100ML ,8411061110225,CAROLINA HERRERA,GIFT SETS,FR,SEND BY NAV
RSF051,S FERRAGAMO SAVANE DI SETA EDP 100ML ,8052464890354,S FERRAGAMO,REGULAR,IT,SEND BY NAV
RSF052,S FERRAGAMO GIUNGLE DI SETA EDP 100ML ,8052464890330,S FERRAGAMO,REGULAR,IT,SEND BY NAV
GCH189,CH 212 HEROES FOR HER EDP 80ML + BL 100ML ,8411061109984,CAROLINA HERRERA,GIFT SETS,FR,SEND BY NAV
GJP126,JPG LE MALE EDT 125ML + SG 75ML ,8435415103268,JPG,GIFT SETS,FR,SEND BY NAV
GJP127,JPG GAULTIER DIVINE EDP 100ML + BL 75ML ,8435415103176,JPG,GIFT SETS,FR,SEND BY NAV
GCH190,CH 212 VIP ROSE EDP 100ML + BL 100ML ,8411061109953,CAROLINA HERRERA,GIFT SETS,ES,SEND BY NAV
GCH191,CH 212 VIP BLACK ELIXIR EDP 100ML + BL 100ML ,8411061109960,CAROLINA HERRERA,GIFT SETS,ES,SEND BY NAV
