Product Code,Description,GTIN,WMS Item Group,Item Category Code,Country Of Origin,User ID,
RCK198,CK EUPHORIA MAGNETIC ELIXIR EDP 30ML ,3616307415248,CK,REGULAR,FR,SEND BY NAV
MGU063,GUCCI FLORA GORGEOUS INTENSE EDP 10ML MINI ,3616306727632,GUCCI,MINIATURES,,SEND BY NAV
RGU207,GUCCI FLORA GORGEOUS INTENSE EDP 30ML ,3616306727625,GUCCI,REGULAR,,SEND BY NAV
RGU208,GUCCI FLORA GORGEOUS INTENSE EDP 50ML ,3616306727618,GUCCI,REGULAR,,SEND BY NAV
RGU209,GUCCI FLORA GORGEOUS INTENSE EDP 100ML ,3616306727601,GUCCI,REGULAR,,SEND BY NAV
VBB029,BURBERRY HERO ELIXIR PARFUM 1.5ML VIAL ,3616305947376,BURBERRY,VIALS,,SEND BY NAV
MGU064,GUCCI GUILTY ABSOLUTE PH EDP 5ML MINI ,3616305931207,GUCCI,MINIATURES,,SEND BY NAV
VGU033,GUCCI GUILTY ABSOLUTE PARFUM 1.5ML VIAL ,3616305931238,GUCCI,VIALS,FR,SEND BY NAV
VGU034,GUCCI GUILTY ABSOLUTE PH EDP 1.5ML VIAL ,3616305931221,GUCCI,VIALS,,SEND BY NAV
MGU065,GUCCI GUILTY ABSOLUTE PF EDP 5ML MINI ,3616305931214,GUCCI,MINIATURES,,SEND BY NAV
MGU066,GUCCI FLORA GORGEOUS INTENSE EDP 5ML MINI ,3616305275806,GUCCI,MINIATURES,,SEND BY NAV
MGU067,GUCCI FLORA GORGEOUS ORCHID EDP 5ML MINI ,3616305169303,GUCCI,MINIATURES,,SEND BY NAV
RCK199,CK ONE NIGHT ESSENSE INTENSE GREY PARFUM 100ML ,3616305638083,CK,REGULAR,FR,SEND BY NAV
MIN014,INITIO LIFT ME UP EXDP 5ML MINI (BOX DAMAGE) ,37014159058941,INITIO,MINIATURES,,SEND BY NAV
TMC072,MANCERA INTENSITIVE AOUD GOLD EDP 120ML TESTER ,0000,MANCERA,TESTERS,FR,SEND BY NAV
VDG078,D&G FEFE FRAGRANCE FOR DOGS 1.5ML ,8054754404319,D&G,VIALS,IT,SEND BY NAV
TPD056,PRADA AMBER W EDP 80ML TESTER ,3614273667364,PRADA,TESTERS,FR,SEND BY NAV
TPD057,PRADA OLFACTORIES MIR SOLEIL ZENITH EDP 100ML TESTER ,3614274220209,PRADA,TESTERS,FR,SEND BY NAV
TPD058,PRADA OLFACTORIES PURPLE RAIN EDP 100ML TESTER ,3614274220278,PRADA,TESTERS,FR,SEND BY NAV
TPD059,PRADA OLFACTORIES MARINEBAD EDP 100ML TESTER ,3614274220292,PRADA,TESTERS,FR,SEND BY NAV
TPD060,PRADA OLFACTORIES CARGO DE NUIT EDP 100ML TESTER ,3614274220315,PRADA,TESTERS,FR,SEND BY NAV
TDI021,DIESEL ONLY THE BRAVE EDP 125ML TESTER ,3614274139303,DIESEL,TESTERS,FR,SEND BY NAV
TPD061,PRADA OLFACTORIES VELVET MORNING EDP 100ML TESTER ,3614274220179,PRADA,TESTERS,FR,SEND BY NAV
TPD062,PRADA OLFACTORIES MIRACLE OF THE ROSE EDP 100ML TESTER ,3614274220216,PRADA,TESTERS,FR,SEND BY NAV
TPD063,PRADA OLFACTORIES PINK FLEMINGO EDP 100ML TESTER ,3614274220285,PRADA,TESTERS,FR,SEND BY NAV
TPD064,PRADA OLFACTORIES DAY FOR NIGHT EDP 100ML TESTER ,3614274220308,PRADA,TESTERS,FR,SEND BY NAV
X00293,LOT - ST/TW/571/ESS-B - 243 PCS ,0000,MISCELLANEOUS,MISCELLANEOUS,FR,SEND BY NAV
X00294,LOT - ST/TW/585/MVN/TER-B - 269 PCS ,0000,MISCELLANEOUS,MISCELLANEOUS,FR,SEND BY NAV
TDG072,D&G L''''IMPERATRICE EDT 100ML TESTER ,8054754400885,D&G,TESTERS,FR,SEND BY NAV
TPD065,PRADA OLFACTORIES DARK LIGHT EDP 100ML TESTER ,3614274220193,PRADA,TESTERS,FR,SEND BY NAV
X00295,LOT POUCHES 2526-1222- 166 PCS ,0000,MISCELLANEOUS,MISCELLANEOUS,FR,SEND BY NAV
TMR068,MARLY ATHALIA EDP 75ML TESTER ,3700578510457,MARLY,TESTERS,FR,SEND BY NAV
RJP119,JPG LE MALE EDT 75ML (BOX DAMAGE) ,84354150126381,JPG,REGULAR,FR,SEND BY NAV
RJP120,PACO RABANNE ONE MILLION EDT 50ML (BOX DAMAGE) ,33496686125981,PACO RABANNE,REGULAR,FR,SEND BY NAV
